,Unnamed: 0.1,Unnamed: 0,app_name,version_name,label,md5,sha256,url,desc
0,0,16,闲趣兼职,1.0.5.0,Part-time Job,33b46dcb2ca3895c1003fff217eea313,,,该软件可能造成财产损失，易泄露隐私：疑为博彩软件，可能会利用赌博内容诱导扣费和安装推广软件，谨慎安装！
1,1,619,91轻松贷,1.0.0.1,Financial,f7091d890e88e4e3fa99ead3cfa46bd8,,,该软件可能不是您所需要的应用，谨慎使用，谨防钱财欺诈财产损失或个人隐私泄露。
2,2,107,18微信,1.2,Impersonating,c26cb64be51d0e394d56de7d3c570a23,,,
3,3,337,新探,9.6.8.1,Pron,29a7f26e35181d931b61fee02f706efd,,,
7,7,444,Bybit,3.26.0,Fictitious service,577c2873653c2c2c966ae2da079ac984,f0d52a8442b366ccda4d3560760714d8c52bf506864abdf368d4912c621cc5b5,http://storedl3f.nearme.com.cn/apk/202208/03/61d3011073750e24d3bd9164606d16fc.apk,
8,8,286,速贷之家,nan.0,Financial,37853569e02b08e7d344bd6a7dde77f7,,,该软件可能造成财产损失，易泄露隐私：疑似欺诈类金融软件，谨慎安装！
9,9,634,寻仙剑诀,7,Fictitious service,7957c6c0704768822b0babdbbcbac277,f673f04dc259a11633bf697f65deaf158a4ce95ee6a8f8066b5348cc2c8ca039,https://dlres.e3930cc.com/h5zy/105692-923351/tzdyjz1.apk,该软件可能造成财产损失，易泄露隐私：疑为欺诈类高风险软件，谨慎安装！
11,11,660,泓泰国际,1.0.0,E-commerce,bcfbc573dee8cd528dc578dce3b71a42,5a4cce06532350ae662811e1a2bef153f7a3b2420d15e380029c831487ab972d,http://www.htgjvip.com/x342504-adr-v100-1wt.apk,该软件可能造成财产损失，易泄露隐私：疑为欺诈类高风险软件，谨慎安装！
12,12,244,wbd6e,1.0.0.1,Fictitious service,5649d019c6109e3ae94873c89207cdcc,,,该软件可能造成财产损失，易泄露隐私：疑为欺诈类高风险软件，谨慎安装！
14,14,605,步步有赏,1.1.2.1,Part-time Job,84c3117cf71f7432911fc2c27929e80d,,,该软件可能含有应用外弹窗广告等内容，可能影响您的使用体验，请谨慎确认是否安装使用
15,15,437,18微信,1.0,Impersonating,b1cd481a6586b7c7322eb282202c3794,,,
16,16,672,桃子影视,2.722.1,Pron,00676a906cb1cb648d6b8a21fb5a449e,,,该软件可能造成财产损失，易泄露隐私：疑为欺诈类高风险软件，谨慎安装！
19,19,111,HFP,4.2,Fictitious service,1e5856dd60d111c8f706a343be6c8035,,,该软件可能造成财产损失，易泄露隐私：疑为欺诈类高风险软件，谨慎安装！
20,20,625,新探,9.6.8.1,Pron,7badc6661eeea5aae8796a9fa54c7f5d,,,该软件可能造成财产损失，易泄露隐私：疑为欺诈类高风险软件，谨慎安装！
21,21,392,yimaogo,0.0.1.1,E-commerce,5237f40d60e8358162a7c1c7233280d9,,,
22,22,171,黑客视频,1.1.0.0,Pron,a495cc574732cd2c275f3b60c8b1888b,,,该软件曾被较多用户投诉其带有风险行为，请谨慎使用。
25,25,678,搬砖小分队,1.0.0.2,E-commerce,581d4d2cc930bbd5a13efc88c35f1499,,,
